Gender_Female,Gender_Male,Gender_Other,City_Type_Rural,City_Type_Suburban,City_Type_Urban,Current_Car_Type_Hatchback,Current_Car_Type_SUV,Current_Car_Type_Sedan,Current_Car_Type_Truck,Home_Charging_Possible_No,Home_Charging_Possible_Yes,Subsidy_Available_No,Subsidy_Available_Yes,Range_Anxiety_Level_High,Range_Anxiety_Level_Low,Range_Anxiety_Level_Medium,Age,Annual_Income_USD,Daily_Commute_km,Number_of_Cars_Owned,Charging_Stations_Near_Home,Charging_Stations_Near_Work,Environmental_Concern_Level,Will_Buy_EV
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7001603257702189,-1.2512300409421815,-0.9968143633861609,-1.0052862307776453,-1.073607795269149,-1.4181483195592026,0.7260211783543419,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.8447994610084366,0.10775132945881578,-1.5658117520284391,-1.0052862307776453,-0.8266253951060099,-0.8477097474268372,-1.4158448213142836,0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.38131152497483994,2.1906053710668396,-0.3843820595803501,0.16378718564013023,2.1371634068516583,-0.8477097474268372,-0.7018894880914085,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-1.2310394077031004,-1.4944321667754379,2.121812545355486,-1.0052862307776453,-0.8266253951060099,-1.2280021288484142,0.7260211783543419,0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.08217641105875673,-1.1382295374646676,1.3008926487647179,-1.0052862307776453,-0.8266253951060099,-1.4181483195592026,0.012065845131466689,0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.8447994610084366,-0.616989145943869,1.5050367500333215,0.16378718564013023,0.16130420554654615,0.10302120612710526,1.439976511577217,0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.9992954396863022,1.3448372033768008,1.9263554271195886,-1.0052862307776453,-0.8266253951060099,-1.0378559381376258,1.439976511577217,1
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.690303482330571,0.2644829657961138,-1.2617673458837104,1.332860602057906,2.1371634068516583,0.48331358754868226,-0.7018894880914085,0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.3953922298206138,0.6062118608435823,-0.019528772206675614,0.16378718564013023,1.8901810066885192,-0.8477097474268372,0.012065845131466689,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-1.385535386380966,0.0571397490477405,0.08037153266944944,0.16378718564013023,-0.08567819461659286,-1.0378559381376258,1.439976511577217,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.3953922298206138,0.10155272806125604,0.17158485451286812,0.16378718564013023,0.6552690058728242,0.10302120612710526,0.012065845131466689,0
